"Subject","Start Date","Start Time","End Date","End Time","All day event","Reminder on/off","Reminder Date","Reminder Time","Meeting Organizer","Required Attendees","Optional Attendees","Meeting Resources","Billing Information","Categories","Description","Location","Mileage","Priority","Private","Sensitivity","Show time as"
"6500:305:001 Business Analytics","8/22/2022","2:00:00 PM","8/22/2022","3:15:00 PM","False","False","8/22/2022","1:45:00 PM",,,,,,," 

","Prof. Vijayaraman",,"Normal","False","Normal","2"
"6500:305:001 Business Analytics","8/24/2022","2:00:00 PM","8/24/2022","3:15:00 PM","False","False","8/24/2022","1:45:00 PM",,,,,,," 

","Prof. Vijayaraman",,"Normal","False","Normal","2"
"6500:315:801 Application Development for Business Processes","8/24/2022","6:00:00 PM","8/24/2022","8:30:00 PM","False","False","8/24/2022","5:45:00 PM",,,,,,," 

","TBA",,"Normal","False","Normal","2"
"6500:425:801 Decis Supp w Data Wrhs/Mining","8/25/2022","6:00:00 PM","8/25/2022","8:30:00 PM","False","False","8/25/2022","5:45:00 PM",,,,,,," 

","Prof. William McHenry",,"Normal","False","Normal","2"
"6500:305:003 Business Analytics","8/23/2022","10:45:00 AM","8/23/2022","12:00:00 PM","False","False","8/23/2022","10:30:00 AM",,,,,,," 

","Prof. Matthew Brenn",,"Normal","False","Normal","2"
"6500:305:003 Business Analytics","8/25/2022","10:45:00 AM","8/25/2022","12:00:00 PM","False","False","8/25/2022","10:30:00 AM",,,,,,," 

","Prof. Matthew Brenn",,"Normal","False","Normal","2"
"6500:305:002 Business Analytics","8/23/2022","3:30:00 PM","8/23/2022","4:45:00 PM","False","False","8/23/2022","3:15:00 PM",,,,,,," 

","Prof. William McHenry",,"Normal","False","Normal","2"
"6500:305:002 Business Analytics","8/25/2022","3:30:00 PM","8/25/2022","4:45:00 PM","False","False","8/25/2022","3:15:00 PM",,,,,,," 

","Prof. William McHenry",,"Normal","False","Normal","2"
